frame,time_s,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along
127,4.2667,452,779,19,325,267,790,1.14678
128,4.3,462,796,19,338,277,803,1.157273
129,4.3333,472,804,16,344,294,823,1.131659
130,4.3667,479,809,10,336,278,810,1.180081
131,4.4,484,811,6,338,274,806,1.201549
132,4.4333,486,814,-4,330,261,785,1.262651
133,4.4667,497,812,-6,333,264,798,1.240104
134,4.5,496,842,-14,329,254,785,1.324736
135,4.5333,508,843,-22,326,248,781,1.351558
136,4.5667,522,865,-29,325,243,778,1.412972
137,4.6,534,900,-39,320,241,778,1.478602
138,4.6333,549,920,-45,322,234,776,1.539733
139,4.6667,555,923,-46,328,263,829,1.396332
140,4.7,564,915,-64,310,214,757,1.606028
141,4.7333,564,918,-68,310,216,777,1.551236
142,4.7667,563,934,-79,304,204,756,1.640146
143,4.8,567,949,-90,297,196,749,1.686844
144,4.8333,564,948,-54,353,369,1089,0.970455
145,4.8667,571,965,168,745,163,732,-25.128866
146,4.9,588,974,190,751,173,720,-10.9432
147,4.9333,586,963,146,701,145,704,34.599998
148,4.9667,592,958,182,682,147,698,-6.70763
149,5.0,604,968,229,683,138,690,-3.857143
150,5.0333,640,971,145,672,82,693,-5.647619
151,5.0667,622,971,98,668,97,668,-524.0
152,5.1,600,912,89,656,88,656,-511.0
153,5.1333,590,877,82,648,84,638,-12.25
154,5.1667,539,874,96,621,7,645,-3.925503
155,5.2,523,865,90,603,46,620,-6.560899
156,5.2333,525,858,223,605,61,591,-1.984342
157,5.2667,528,864,40,573,60,578,26.388235
158,5.3,,,-318,637,76,550,
159,5.3333,,,42,537,44,537,
160,5.3667,,,18,521,46,513,
161,5.4,,,46,499,45,498,
162,5.4333,,,37,479,37,478,
163,5.4667,,,3,472,3,471,
164,5.5,,,0,455,0,456,
165,5.5333,,,8,431,629,-2631,
166,5.5667,,,-519,241,-483,385,
167,5.6,,,-5,406,-39,413,
168,5.6333,,,905,239,652,426,
169,5.6667,,,49,436,15,377,
170,5.7,,,209,664,-24,294,
171,5.7333,,,-29,187,-6,387,
172,5.7667,,,62,487,333,846,
173,5.8,,,-15,349,17,427,
174,5.8333,,,0,289,0,321,
175,5.8667,,,-865,-823,24,329,
176,5.9,,,324,530,545,1272,
177,5.9333,,,324,530,545,1272,
178,5.9667,,,324,530,545,1272,
179,6.0,,,324,530,545,1272,
180,6.0333,,,324,530,545,1272,
181,6.0667,,,130,466,128,459,
