frame,time_s,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along
126,4.2333,350,550,260,481,492,1181,0.12721
127,4.2667,350,552,259,481,490,1180,0.13036
128,4.3,349,556,258,480,489,1179,0.136808
129,4.3333,348,557,257,480,487,1178,0.138262
130,4.3667,348,552,255,479,485,1177,0.133945
131,4.4,346,547,254,478,483,1175,0.128492
132,4.4333,345,548,253,478,482,1175,0.129787
133,4.4667,344,542,251,478,480,1173,0.122841
134,4.5,343,541,250,477,478,1172,0.122772
135,4.5333,342,542,249,476,477,1171,0.12537
136,4.5667,340,543,247,476,475,1170,0.126873
137,4.6,340,549,246,475,473,1169,0.136344
138,4.6333,339,552,244,475,471,1168,0.140897
139,4.6667,338,555,243,474,469,1167,0.146056
140,4.7,338,563,242,474,467,1166,0.15711
141,4.7333,337,564,240,473,465,1165,0.160149
142,4.7667,336,566,239,472,464,1164,0.16407
143,4.8,336,566,238,472,462,1163,0.164702
144,4.8333,335,564,236,471,461,1162,0.163865
145,4.8667,334,562,235,471,460,1161,0.161498
146,4.9,333,560,234,471,459,1160,0.159126
147,4.9333,332,559,233,470,458,1159,0.159126
148,4.9667,332,557,232,469,457,1158,0.158242
149,5.0,331,557,231,469,455,1158,0.158187
150,5.0333,331,557,230,468,455,1158,0.159732
151,5.0667,330,563,229,468,454,1157,0.167851
152,5.1,330,570,228,467,452,1156,0.17873
153,5.1333,331,574,227,467,451,1155,0.185116
154,5.1667,331,578,226,466,450,1155,0.191824
155,5.2,332,582,225,465,449,1154,0.199241
156,5.2333,332,584,224,465,448,1154,0.202293
157,5.2667,333,588,223,465,447,1153,0.20871
158,5.3,332,589,222,465,446,1153,0.210024
159,5.3333,332,587,221,464,445,1152,0.209138
160,5.3667,332,584,221,464,444,1152,0.205159
161,5.4,331,585,220,463,443,1152,0.207476
162,5.4333,331,583,219,463,442,1151,0.205585
163,5.4667,331,580,218,463,441,1151,0.202065
164,5.5,331,579,218,463,441,1151,0.20075
165,5.5333,331,579,217,462,440,1151,0.202183
166,5.5667,333,586,217,462,439,1150,0.212511
167,5.6,336,590,216,462,439,1150,0.219518
168,5.6333,337,597,216,461,438,1150,0.230086
169,5.6667,339,601,215,461,437,1150,0.236616
170,5.7,341,607,215,461,437,1150,0.245353
171,5.7333,344,616,214,461,436,1150,0.258881
172,5.7667,344,619,214,461,436,1150,0.262826
173,5.8,346,624,213,461,435,1150,0.270671
174,5.8333,348,633,213,461,435,1150,0.283352
175,5.8667,348,628,213,461,434,1150,0.276754
176,5.9,348,628,212,461,434,1150,0.277202
177,5.9333,349,622,212,461,433,1151,0.269301
178,5.9667,352,618,212,461,433,1151,0.265306
179,6.0,354,616,211,460,432,1151,0.264855
180,6.0333,354,617,211,460,432,1152,0.265768
181,6.0667,356,622,211,460,432,1152,0.273162
182,6.1,359,628,211,461,431,1152,0.281351
183,6.1333,362,637,210,460,431,1152,0.295764
184,6.1667,364,644,210,460,431,1152,0.305781
185,6.2,368,653,210,461,430,1152,0.318384
186,6.2333,371,654,210,460,430,1152,0.321789
187,6.2667,375,658,210,461,430,1153,0.327396
188,6.3,376,660,210,461,430,1153,0.330438
189,6.3333,376,661,210,461,430,1153,0.33175
190,6.3667,377,663,210,461,430,1153,0.334792
191,6.4,378,661,210,461,430,1153,0.332585
192,6.4333,378,660,209,461,430,1153,0.331733
193,6.4667,378,661,209,461,430,1153,0.333044
194,6.5,379,660,209,461,430,1153,0.332151
195,6.5333,381,663,209,461,430,1153,0.336923
196,6.5667,384,665,209,461,430,1153,0.340802
197,6.6,388,671,209,461,430,1153,0.350345
198,6.6333,391,683,209,461,430,1153,0.367338
199,6.6667,395,693,209,461,430,1153,0.382126
200,6.7,401,696,209,461,430,1153,0.388573
201,6.7333,402,709,209,461,430,1153,0.406039
202,6.7667,406,729,209,461,429,1153,0.433931
203,6.8,410,745,208,461,429,1152,0.457678
204,6.8333,413,753,208,461,429,1152,0.469441
