frame,time_s,frame_w,frame_h,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along,lm_00_x,lm_00_y,lm_00_z,lm_01_x,lm_01_y,lm_01_z,lm_02_x,lm_02_y,lm_02_z,lm_03_x,lm_03_y,lm_03_z,lm_04_x,lm_04_y,lm_04_z,lm_05_x,lm_05_y,lm_05_z,lm_06_x,lm_06_y,lm_06_z,lm_07_x,lm_07_y,lm_07_z,lm_08_x,lm_08_y,lm_08_z,lm_09_x,lm_09_y,lm_09_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z,lm_21_x,lm_21_y,lm_21_z,lm_22_x,lm_22_y,lm_22_z,lm_23_x,lm_23_y,lm_23_z,lm_24_x,lm_24_y,lm_24_z,lm_25_x,lm_25_y,lm_25_z,lm_26_x,lm_26_y,lm_26_z,lm_27_x,lm_27_y,lm_27_z,lm_28_x,lm_28_y,lm_28_z,lm_29_x,lm_29_y,lm_29_z,lm_30_x,lm_30_y,lm_30_z,lm_31_x,lm_31_y,lm_31_z,lm_32_x,lm_32_y,lm_32_z
10,0.3333,720,1280,338,512,320,532,540,1273,-0.018176,0.466231,0.304409,-0.234753,0.468577,0.302005,-0.226422,0.470111,0.302037,-0.22645,0.47167,0.302098,-0.226487,0.46385,0.302019,-0.227665,0.462095,0.302013,-0.227741,0.460332,0.301968,-0.227817,0.473897,0.303095,-0.163915,0.457519,0.3031,-0.170684,0.469078,0.307048,-0.210252,0.462896,0.306978,-0.212303,0.489567,0.315751,-0.107531,0.444259,0.31744,-0.119719,0.500014,0.334669,-0.084783,0.435925,0.33805,-0.101423,0.503597,0.352299,-0.123558,0.429951,0.357107,-0.143364,0.505576,0.357593,-0.134729,0.427189,0.361657,-0.155891,0.502284,0.357495,-0.150262,0.429441,0.362242,-0.173957,0.500366,0.355884,-0.129964,0.43134,0.360914,-0.150748,0.48444,0.351708,0.009106,0.458466,0.351398,-0.009137,0.476583,0.373792,-0.014906,0.463715,0.372923,-0.130547,0.475243,0.39968,0.075347,0.464885,0.401764,-0.076875,0.473898,0.402984,0.080575,0.463618,0.405467,-0.075693,0.47876,0.408371,0.020446,0.46872,0.410657,-0.155878
11,0.3667,720,1280,338,513,320,532,540,1274,-0.016926,0.466184,0.304566,-0.255103,0.468538,0.302153,-0.24657,0.470038,0.302185,-0.246573,0.471574,0.302245,-0.246604,0.463841,0.302149,-0.248081,0.462079,0.302133,-0.248163,0.460317,0.302081,-0.248222,0.473874,0.303229,-0.182004,0.457497,0.303181,-0.190674,0.469034,0.307206,-0.229862,0.462872,0.307132,-0.232314,0.489608,0.315757,-0.1285,0.444281,0.317442,-0.132589,0.500124,0.334679,-0.108782,0.435775,0.337975,-0.11556,0.505513,0.352466,-0.147401,0.430005,0.357171,-0.157344,0.5072,0.357614,-0.160967,0.427393,0.361719,-0.173175,0.504482,0.357617,-0.174976,0.429706,0.362354,-0.192654,0.502685,0.355948,-0.153455,0.431567,0.360989,-0.165606,0.484237,0.352055,0.008251,0.458137,0.351934,-0.008266,0.476562,0.374077,0.035382,0.46359,0.373697,-0.085321,0.475233,0.399796,0.138068,0.464918,0.401998,-0.016851,0.473641,0.402762,0.144224,0.463947,0.405473,-0.014485,0.478711,0.408409,0.083405,0.4686,0.41057,-0.096101
12,0.4,720,1280,338,513,319,532,539,1274,-0.016559,0.466128,0.304755,-0.224633,0.468506,0.302347,-0.216853,0.469988,0.302369,-0.216882,0.47149,0.302416,-0.216915,0.463804,0.302361,-0.217946,0.462023,0.302343,-0.218022,0.460267,0.302291,-0.218093,0.473868,0.303421,-0.158129,0.457469,0.303404,-0.164436,0.469001,0.307365,-0.201896,0.462826,0.307338,-0.203805,0.489806,0.316164,-0.106457,0.444219,0.317471,-0.118232,0.500512,0.335071,-0.085898,0.435611,0.33809,-0.099796,0.506518,0.352617,-0.125416,0.42987,0.357518,-0.13982,0.508404,0.357658,-0.136402,0.427266,0.362198,-0.152186,0.505751,0.357745,-0.151748,0.429694,0.362783,-0.169687,0.504053,0.356242,-0.131694,0.43161,0.361334,-0.146962,0.484193,0.352782,0.010605,0.457873,0.35265,-0.010648,0.476767,0.374346,0.003608,0.463491,0.37359,-0.117285,0.474999,0.399725,0.097306,0.46443,0.401943,-0.058721,0.472858,0.403031,0.102803,0.463198,0.405555,-0.057119,0.478782,0.408357,0.044442,0.469152,0.410529,-0.133751
13,0.4333,720,1280,337,513,319,533,539,1275,-0.018165,0.465772,0.305226,-0.229933,0.468244,0.302777,-0.222357,0.469735,0.30277,-0.222385,0.47119,0.302795,-0.222421,0.463487,0.30284,-0.222797,0.461703,0.302825,-0.222874,0.459967,0.302775,-0.222938,0.47378,0.303733,-0.162414,0.45739,0.30376,-0.165254,0.468735,0.307769,-0.206384,0.462597,0.307752,-0.20733,0.489915,0.316496,-0.107505,0.44417,0.317586,-0.113328,0.500767,0.335594,-0.084262,0.435404,0.338199,-0.091157,0.507094,0.353212,-0.124808,0.42996,0.357796,-0.132759,0.509047,0.357806,-0.136487,0.427576,0.362505,-0.144851,0.506596,0.357994,-0.152386,0.429852,0.363012,-0.162888,0.505017,0.356657,-0.131291,0.431848,0.361529,-0.140065,0.484283,0.35289,0.009116,0.457572,0.352748,-0.009144,0.476879,0.373698,-0.042261,0.463177,0.373372,-0.125923,0.474681,0.399838,0.051013,0.463978,0.402253,-0.06489,0.472992,0.402881,0.056311,0.462817,0.405646,-0.063003,0.478834,0.40852,-0.00625,0.469285,0.410487,-0.141763
14,0.4667,720,1280,337,513,319,533,538,1275,-0.018208,0.46563,0.305729,-0.233542,0.467986,0.303238,-0.22541,0.469503,0.303162,-0.22543,0.470863,0.303131,-0.225464,0.463138,0.303426,-0.225557,0.461345,0.303432,-0.225631,0.459571,0.303419,-0.225682,0.473523,0.304006,-0.163166,0.457177,0.304512,-0.1644,0.468684,0.308226,-0.209144,0.462532,0.308337,-0.209651,0.490097,0.317042,-0.107344,0.444159,0.318085,-0.109011,0.501295,0.33607,-0.082904,0.435361,0.338437,-0.084468,0.507268,0.354041,-0.124343,0.430188,0.357902,-0.128018,0.509225,0.358329,-0.137102,0.427844,0.36266,-0.140668,0.50659,0.35855,-0.153185,0.43,0.363051,-0.159029,0.504928,0.357363,-0.130927,0.432082,0.361572,-0.135522,0.484563,0.353228,0.008369,0.457715,0.353081,-0.008405,0.476983,0.373547,-0.058821,0.46285,0.373293,-0.124792,0.474655,0.399877,0.035914,0.463776,0.402313,-0.061405,0.473142,0.402764,0.041226,0.462885,0.405581,-0.059349,0.478721,0.408511,-0.026084,0.469209,0.41039,-0.140176
15,0.5,720,1280,337,513,319,533,538,1275,-0.018208,0.465388,0.306564,-0.246205,0.467676,0.303971,-0.239587,0.469241,0.303836,-0.239616,0.470583,0.303751,-0.239657,0.462736,0.304263,-0.239093,0.460936,0.304281,-0.23917,0.459143,0.304309,-0.239223,0.473226,0.304475,-0.177448,0.456867,0.30536,-0.173085,0.468547,0.308977,-0.22146,0.462321,0.309224,-0.220631,0.490032,0.317331,-0.111598,0.444081,0.318315,-0.122303,0.501389,0.336138,-0.095277,0.435196,0.338641,-0.092136,0.507176,0.354041,-0.129874,0.430375,0.357992,-0.14332,0.509196,0.358331,-0.142613,0.427979,0.362813,-0.158457,0.506667,0.358554,-0.158862,0.430316,0.363148,-0.177124,0.504984,0.357385,-0.133417,0.432454,0.361635,-0.150858,0.483732,0.353492,0.007871,0.4573,0.353367,-0.007899,0.476936,0.374034,-0.046973,0.462834,0.373766,-0.112086,0.474274,0.400281,0.050102,0.463546,0.402458,-0.037601,0.472884,0.40331,0.056096,0.462584,0.405813,-0.03492,0.478657,0.408948,-0.023939,0.469137,0.410409,-0.115752
16,0.5333,720,1280,337,513,319,533,538,1275,-0.018208,0.46522,0.30752,-0.252868,0.467495,0.304851,-0.245509,0.469035,0.304718,-0.245534,0.470276,0.30462,-0.24557,0.462537,0.305078,-0.245322,0.460717,0.305104,-0.245395,0.45889,0.305133,-0.24544,0.472827,0.305341,-0.180983,0.456538,0.30622,-0.175269,0.468329,0.309966,-0.227277,0.462083,0.310201,-0.226867,0.48985,0.31778,-0.117809,0.44381,0.318945,-0.125484,0.501379,0.336131,-0.098553,0.435031,0.338795,-0.0933,0.507143,0.353736,-0.13461,0.430481,0.358065,-0.150189,0.509275,0.358157,-0.151292,0.428086,0.362868,-0.166578,0.506655,0.358435,-0.17025,0.430718,0.363183,-0.185282,0.50499,0.357332,-0.141506,0.43294,0.361653,-0.157961,0.483498,0.353885,0.007949,0.45694,0.353787,-0.007961,0.476981,0.374822,-0.043001,0.462703,0.374173,-0.09623,0.474164,0.400329,0.064504,0.46305,0.402405,-0.017553,0.472454,0.40337,0.070559,0.46165,0.405787,-0.014182,0.478654,0.409247,-0.006189,0.469087,0.410491,-0.094235
17,0.5667,720,1280,337,513,318,533,537,1276,-0.017831,0.464734,0.30896,-0.253981,0.467043,0.306153,-0.247376,0.468588,0.305989,-0.247397,0.469774,0.305849,-0.247432,0.461993,0.306458,-0.247011,0.460169,0.306509,-0.247088,0.458344,0.306558,-0.247134,0.472361,0.306312,-0.185027,0.456074,0.307436,-0.178251,0.467926,0.311348,-0.228809,0.461608,0.311658,-0.227968,0.489617,0.31836,-0.118427,0.443767,0.319814,-0.127188,0.501435,0.336435,-0.099454,0.434901,0.339578,-0.098678,0.507106,0.354146,-0.138816,0.430652,0.358477,-0.150363,0.509323,0.358337,-0.153621,0.42811,0.363161,-0.166321,0.506849,0.358575,-0.170802,0.431023,0.363437,-0.185198,0.505087,0.357467,-0.145441,0.433355,0.361908,-0.1581,0.483525,0.35429,0.007751,0.456963,0.354168,-0.007762,0.477012,0.375525,-0.036519,0.462431,0.374602,-0.097965,0.474039,0.400521,0.064225,0.462798,0.402415,-0.024957,0.47217,0.403453,0.070088,0.461359,0.405877,-0.021963,0.47841,0.409153,-0.001082,0.469068,0.410483,-0.099986
18,0.6,720,1280,337,513,318,533,537,1276,-0.017831,0.464037,0.310528,-0.281272,0.466396,0.307661,-0.274923,0.467933,0.307439,-0.274933,0.469218,0.307237,-0.274963,0.461382,0.308146,-0.274911,0.459521,0.308268,-0.274982,0.457792,0.308386,-0.275029,0.471612,0.307587,-0.209562,0.455738,0.309048,-0.209568,0.467334,0.312749,-0.254423,0.46107,0.31324,-0.254633,0.489415,0.319258,-0.139616,0.443741,0.320878,-0.147545,0.501472,0.336597,-0.11333,0.434683,0.340535,-0.122372,0.507063,0.354071,-0.1576,0.430893,0.358997,-0.171981,0.509266,0.35823,-0.173406,0.428263,0.363523,-0.189378,0.506801,0.358406,-0.190145,0.43143,0.363699,-0.208253,0.504984,0.357344,-0.164666,0.433769,0.362202,-0.180045,0.48356,0.355109,0.007705,0.457082,0.355002,-0.007702,0.477037,0.377158,0.031317,0.462147,0.375468,-0.06208,0.474148,0.400648,0.147351,0.462334,0.402448,0.03151,0.472274,0.403667,0.155086,0.461002,0.405842,0.036885,0.478251,0.409039,0.091833,0.468742,0.410468,-0.042558
19,0.6333,720,1280,336,514,318,533,537,1276,-0.016958,0.46326,0.312413,-0.279787,0.465551,0.309477,-0.274113,0.467091,0.309189,-0.274123,0.468491,0.308911,-0.274154,0.460696,0.310132,-0.273853,0.458939,0.310279,-0.273927,0.457321,0.310403,-0.273982,0.47106,0.309008,-0.210927,0.455631,0.310767,-0.210387,0.466731,0.314487,-0.253666,0.460702,0.315064,-0.253643,0.489293,0.320162,-0.141688,0.443751,0.321873,-0.147782,0.501468,0.336875,-0.113041,0.434462,0.341299,-0.121526,0.507048,0.353528,-0.155615,0.431062,0.359372,-0.169881,0.509229,0.357824,-0.170496,0.428392,0.363875,-0.1861,0.506749,0.357671,-0.186925,0.431604,0.363991,-0.204953,0.504917,0.356596,-0.162456,0.433939,0.362513,-0.177816,0.48348,0.355986,0.008196,0.457226,0.355559,-0.008185,0.477176,0.377875,0.027867,0.462146,0.375841,-0.057487,0.473667,0.401169,0.136448,0.461561,0.402685,0.034207,0.471016,0.403996,0.143399,0.459895,0.406099,0.039383,0.478229,0.409074,0.081986,0.46825,0.410449,-0.038219
