frame,time_s,frame_w,frame_h,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along,lm_00_x,lm_00_y,lm_00_z,lm_01_x,lm_01_y,lm_01_z,lm_02_x,lm_02_y,lm_02_z,lm_03_x,lm_03_y,lm_03_z,lm_04_x,lm_04_y,lm_04_z,lm_05_x,lm_05_y,lm_05_z,lm_06_x,lm_06_y,lm_06_z,lm_07_x,lm_07_y,lm_07_z,lm_08_x,lm_08_y,lm_08_z,lm_09_x,lm_09_y,lm_09_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z,lm_21_x,lm_21_y,lm_21_z,lm_22_x,lm_22_y,lm_22_z,lm_23_x,lm_23_y,lm_23_z,lm_24_x,lm_24_y,lm_24_z,lm_25_x,lm_25_y,lm_25_z,lm_26_x,lm_26_y,lm_26_z,lm_27_x,lm_27_y,lm_27_z,lm_28_x,lm_28_y,lm_28_z,lm_29_x,lm_29_y,lm_29_z,lm_30_x,lm_30_y,lm_30_z,lm_31_x,lm_31_y,lm_31_z,lm_32_x,lm_32_y,lm_32_z
10,0.3333,720,1280,326,491,303,508,540,1214,-0.011812,0.443801,0.28054,-0.246567,0.44659,0.278129,-0.240284,0.448377,0.278076,-0.240267,0.449981,0.278061,-0.240271,0.441462,0.278401,-0.240777,0.439847,0.278493,-0.240833,0.438133,0.278597,-0.240871,0.453016,0.279422,-0.178554,0.43644,0.279952,-0.182306,0.447463,0.28318,-0.221463,0.441016,0.283427,-0.222648,0.470721,0.29403,-0.114371,0.42498,0.293733,-0.130938,0.482884,0.314137,-0.07592,0.418987,0.314441,-0.110484,0.487538,0.332222,-0.124448,0.425746,0.331031,-0.175177,0.489813,0.337228,-0.1402,0.426056,0.336696,-0.198328,0.486795,0.337334,-0.159484,0.429925,0.336046,-0.214484,0.48461,0.335919,-0.132802,0.430891,0.334385,-0.18336,0.465739,0.332389,0.003854,0.438806,0.332275,-0.003881,0.460512,0.358143,0.050678,0.44276,0.357021,0.000295,0.461505,0.384503,0.155404,0.446695,0.383957,0.105705,0.460412,0.387907,0.161993,0.447214,0.386726,0.11272,0.4646,0.392749,0.095718,0.448819,0.393337,0.040146
11,0.3667,720,1280,326,491,303,508,539,1214,-0.011864,0.443675,0.280622,-0.257638,0.446449,0.278226,-0.251471,0.44825,0.278169,-0.251458,0.449876,0.278149,-0.25147,0.441305,0.278516,-0.251619,0.43968,0.278625,-0.251678,0.437956,0.27873,-0.251723,0.452867,0.279456,-0.190285,0.436336,0.280016,-0.192269,0.447402,0.28321,-0.232778,0.440934,0.283468,-0.23346,0.470671,0.294105,-0.127796,0.424951,0.293788,-0.137921,0.482458,0.314553,-0.093287,0.419019,0.315043,-0.114051,0.486215,0.332811,-0.140226,0.425056,0.333228,-0.168336,0.488715,0.337771,-0.156881,0.425152,0.338329,-0.188404,0.485541,0.337841,-0.174838,0.428727,0.337937,-0.205626,0.483383,0.336406,-0.148052,0.429585,0.336453,-0.176089,0.465515,0.332449,0.003632,0.438682,0.332367,-0.003651,0.460293,0.358152,0.048275,0.44248,0.357343,0.006665,0.461133,0.384104,0.158378,0.446531,0.383938,0.11947,0.460174,0.387133,0.165511,0.447079,0.38672,0.12729,0.464398,0.392344,0.098669,0.448659,0.393025,0.053851
12,0.4,720,1280,326,491,303,508,539,1215,-0.011864,0.443638,0.28067,-0.256846,0.446362,0.278273,-0.251029,0.448175,0.278205,-0.251017,0.449806,0.278174,-0.251028,0.441196,0.278604,-0.251041,0.439563,0.278732,-0.251098,0.437831,0.278843,-0.251145,0.452776,0.279456,-0.190842,0.43622,0.280075,-0.192095,0.447408,0.283212,-0.232253,0.440918,0.283499,-0.232733,0.470682,0.294094,-0.129157,0.424902,0.293787,-0.136704,0.481876,0.314813,-0.093423,0.419045,0.315386,-0.111094,0.48519,0.333362,-0.136993,0.423845,0.334266,-0.167472,0.487751,0.338241,-0.152441,0.423748,0.339333,-0.184392,0.484614,0.338366,-0.170197,0.426973,0.338989,-0.204498,0.482542,0.336866,-0.144604,0.427715,0.337596,-0.174633,0.465297,0.332487,0.003534,0.438356,0.33241,-0.003543,0.459994,0.358172,0.046628,0.442348,0.357989,0.003193,0.460866,0.383856,0.155473,0.446395,0.383936,0.109809,0.460006,0.386794,0.162361,0.446975,0.386762,0.116816,0.464233,0.392535,0.095142,0.448637,0.393113,0.042294
13,0.4333,720,1280,326,491,302,508,539,1215,-0.011386,0.443657,0.280716,-0.278699,0.446383,0.278325,-0.27195,0.448192,0.278254,-0.271939,0.449831,0.27822,-0.27195,0.441236,0.278664,-0.272403,0.439607,0.278791,-0.272459,0.437877,0.278897,-0.272503,0.452789,0.27947,-0.20708,0.436192,0.280104,-0.210457,0.447424,0.283232,-0.252612,0.440952,0.283537,-0.253668,0.470651,0.293972,-0.14159,0.424814,0.293906,-0.152957,0.481604,0.314733,-0.108577,0.418946,0.315779,-0.128214,0.48496,0.333363,-0.152106,0.421676,0.334976,-0.176918,0.487692,0.338302,-0.168108,0.420876,0.340222,-0.195038,0.484619,0.338451,-0.186068,0.424619,0.339923,-0.214144,0.482417,0.336944,-0.15977,0.425544,0.338316,-0.184812,0.464861,0.332491,0.004959,0.437989,0.332424,-0.004994,0.459116,0.358155,0.067615,0.442386,0.358058,-0.012796,0.460377,0.383593,0.181797,0.446234,0.38396,0.082902,0.459419,0.386465,0.189215,0.446537,0.386778,0.088594,0.464026,0.392283,0.120608,0.448646,0.393105,0.008336
14,0.4667,720,1280,325,490,302,508,539,1215,-0.013084,0.443919,0.28094,-0.266335,0.446534,0.278522,-0.25966,0.448283,0.278457,-0.259649,0.44985,0.278415,-0.259657,0.44133,0.278811,-0.260256,0.439636,0.278912,-0.260311,0.437917,0.278986,-0.260354,0.452811,0.279567,-0.196213,0.436177,0.280172,-0.200152,0.447557,0.283433,-0.240642,0.441021,0.283719,-0.241956,0.470643,0.293965,-0.132239,0.424687,0.294178,-0.145207,0.481413,0.314714,-0.097666,0.41879,0.315758,-0.122611,0.484723,0.333389,-0.143703,0.41987,0.335118,-0.172944,0.487455,0.338302,-0.159725,0.418756,0.340334,-0.19119,0.484491,0.33847,-0.177596,0.423097,0.339901,-0.209541,0.482218,0.336964,-0.151432,0.42412,0.338179,-0.180738,0.464229,0.332495,0.006865,0.437703,0.332434,-0.006895,0.457797,0.358012,0.072203,0.442398,0.358054,-0.015329,0.459426,0.382493,0.181388,0.446062,0.383892,0.075455,0.458443,0.38581,0.188554,0.445837,0.386704,0.080684,0.464007,0.390583,0.124194,0.448647,0.392721,0.002248
15,0.5,720,1280,325,490,302,508,539,1215,-0.013084,0.444081,0.281342,-0.263199,0.446646,0.278882,-0.256347,0.448357,0.278799,-0.256339,0.449871,0.278738,-0.256348,0.441416,0.279151,-0.257069,0.439687,0.27922,-0.257124,0.437998,0.279258,-0.257167,0.45283,0.279766,-0.192419,0.436199,0.280387,-0.196758,0.447675,0.28379,-0.237292,0.441089,0.284058,-0.238745,0.470601,0.293947,-0.128759,0.424681,0.294266,-0.142326,0.481349,0.31467,-0.093612,0.418222,0.31569,-0.12075,0.484719,0.333361,-0.139617,0.4176,0.335006,-0.171141,0.487382,0.338265,-0.155343,0.416703,0.340198,-0.189478,0.484298,0.338432,-0.173512,0.421191,0.339647,-0.20791,0.482052,0.336922,-0.147451,0.421945,0.337942,-0.179037,0.463436,0.332545,0.008141,0.437021,0.33245,-0.008175,0.457138,0.357836,0.071794,0.442424,0.357775,-0.020265,0.458699,0.382098,0.187081,0.445708,0.383791,0.07138,0.457504,0.385437,0.19493,0.444937,0.386561,0.076823,0.463742,0.390625,0.130453,0.448774,0.392513,-0.001702
16,0.5333,720,1280,325,490,302,508,539,1216,-0.013083,0.444113,0.281768,-0.282525,0.446684,0.279304,-0.276039,0.448403,0.279222,-0.276035,0.449917,0.279162,-0.276051,0.441443,0.279488,-0.276192,0.439729,0.279509,-0.276248,0.438031,0.279526,-0.276296,0.452839,0.280179,-0.210792,0.436278,0.280653,-0.212606,0.447679,0.284264,-0.256079,0.441103,0.284493,-0.256706,0.470613,0.293947,-0.143952,0.424688,0.29449,-0.153355,0.48137,0.314643,-0.111411,0.417829,0.315823,-0.130042,0.484763,0.333347,-0.152732,0.415701,0.335222,-0.177658,0.48749,0.338236,-0.168232,0.414335,0.3402,-0.195796,0.48438,0.338447,-0.186267,0.418047,0.339751,-0.215794,0.482089,0.336946,-0.160359,0.419563,0.338054,-0.186327,0.463476,0.3326,0.007562,0.436879,0.332558,-0.0076,0.457381,0.357761,0.074459,0.442592,0.357396,-0.019625,0.458881,0.382229,0.193665,0.445495,0.3838,0.074985,0.45768,0.385497,0.201757,0.444724,0.386646,0.080692,0.463651,0.390813,0.134434,0.44843,0.392468,0.001233
17,0.5667,720,1280,325,490,302,508,539,1216,-0.013083,0.444381,0.2825,-0.29396,0.446903,0.279892,-0.286914,0.448635,0.279762,-0.286914,0.450081,0.27968,-0.286932,0.441594,0.28014,-0.287453,0.439849,0.280153,-0.287509,0.438081,0.280179,-0.287555,0.452856,0.280578,-0.219409,0.436294,0.28127,-0.223146,0.447841,0.284988,-0.26684,0.441212,0.285256,-0.267996,0.47061,0.294085,-0.15236,0.424461,0.295008,-0.16224,0.481385,0.314622,-0.123876,0.416892,0.31642,-0.136813,0.485347,0.333349,-0.169099,0.413912,0.335535,-0.182641,0.487772,0.338348,-0.185508,0.412149,0.340345,-0.200598,0.484942,0.338658,-0.203634,0.41609,0.340077,-0.221009,0.482743,0.337244,-0.176971,0.417412,0.338477,-0.191506,0.463368,0.332969,0.00795,0.436799,0.332926,-0.007996,0.457532,0.357901,0.084015,0.442608,0.35749,-0.02531,0.458954,0.382334,0.206566,0.445124,0.383912,0.066492,0.45761,0.385547,0.215046,0.444278,0.386796,0.071774,0.463656,0.390976,0.147611,0.448489,0.392507,-0.010258
18,0.6,720,1280,325,490,302,508,539,1216,-0.013083,0.444435,0.283085,-0.288569,0.447025,0.280501,-0.281678,0.448763,0.280401,-0.281681,0.450157,0.280348,-0.281704,0.441633,0.280626,-0.281871,0.439872,0.280589,-0.281925,0.438095,0.280559,-0.281964,0.452889,0.28117,-0.215542,0.436305,0.281567,-0.217685,0.447846,0.285626,-0.262038,0.441236,0.285788,-0.262713,0.470441,0.294375,-0.153092,0.424257,0.295475,-0.154487,0.4814,0.314686,-0.126626,0.416063,0.316409,-0.136328,0.486232,0.333336,-0.173672,0.41144,0.335336,-0.1735,0.488235,0.338355,-0.190665,0.40867,0.340221,-0.189581,0.48555,0.338684,-0.208939,0.411932,0.340007,-0.214615,0.483617,0.337282,-0.181653,0.413545,0.338561,-0.184792,0.463381,0.333002,0.005976,0.436847,0.333052,-0.006009,0.45762,0.357909,0.073972,0.442662,0.357568,-0.021598,0.45898,0.38241,0.191906,0.444816,0.384001,0.073022,0.457727,0.385603,0.199908,0.444177,0.38687,0.078665,0.463156,0.391091,0.131006,0.448228,0.392558,-0.001931
19,0.6333,720,1280,325,490,302,508,539,1216,-0.013083,0.444456,0.283732,-0.293669,0.447048,0.281139,-0.28668,0.448766,0.281036,-0.286684,0.450171,0.280979,-0.286706,0.44164,0.281253,-0.287158,0.439894,0.281214,-0.287214,0.438115,0.28117,-0.287254,0.452889,0.281711,-0.21943,0.436264,0.282129,-0.22317,0.447859,0.286276,-0.266662,0.441252,0.286401,-0.267792,0.470252,0.29474,-0.153706,0.424068,0.295762,-0.160777,0.481404,0.314973,-0.125644,0.41542,0.317016,-0.135804,0.487606,0.333808,-0.171949,0.409097,0.336442,-0.180047,0.490097,0.338594,-0.188442,0.406069,0.340806,-0.19692,0.487962,0.339034,-0.20685,0.408806,0.340937,-0.219821,0.48608,0.337729,-0.179928,0.410339,0.339818,-0.190187,0.463421,0.333338,0.007906,0.436896,0.333437,-0.007945,0.457645,0.358361,0.072412,0.442895,0.357592,-0.032503,0.45896,0.382451,0.198697,0.444782,0.38401,0.063481,0.45775,0.385641,0.207631,0.444053,0.386874,0.06926,0.46351,0.391071,0.141807,0.448889,0.39256,-0.012456
